source_header,question,answer
Regulations from September 2019 to September 2020,"How do extenuating circumstances affect my degree classification, and can they impact my final mark?","Extenuating circumstances can impact your degree classification if they meet specific criteria, such as affecting modules worth no more than 20 credits in your final year where reassessment wasn't possible. Marks from these modules may be excluded from your final average calculation, provided all non-compensatable modules are passed and the Extenuating Circumstances panel deems this exclusion more representative of your usual performance."
Undergraduate degree classification from September 2015 to September 2020,How are undergraduate degree classifications determined for students who began their studies between September 2015 and September 2020 at the University of Nottingham?,"Undergraduate degree classifications for students who entered their Qualifying year or Part I between September 2015 and before September 2020 are determined using a weighted numerical average. Module marks are calculated and weighted based on the number of credits, and a weighted numerical average is rounded to determine the degree classification. The classifications are: First Class (70%+), Upper Second Class (60%-69%), Lower Second Class (50%-59%), Third Class (40%-49%), and Pass (40%+)."
Undergraduate degree classification from September 2015 to September 2020,What should a student do if they have extenuating circumstances that might affect their degree classification?,"If a student has extenuating circumstances, they should be considered in accordance with the University's Extenuating Circumstances Policy and Procedures. It's important for students to communicate their circumstances to the university so that these can be taken into account when determining their final degree classification."
Undergraduate degree classification from September 2015 to September 2020,Can you explain what the borderline marks mean and how they affect degree classifications?,"Borderline marks are specific rounded marks that are close to the threshold of a higher degree classification. For instance, marks of 68/69 fall within the Borderline First Class, 58/59 for Borderline Upper Second Class, and 48/49 for Borderline Lower Second Class. If a student's final composite mark falls within these borderlines, a weighted profiling system is applied to determine whether the student should receive the higher classification. This decision considers if half or more of the relevant stage credits fall within the higher class."
Postgraduate taught degree classification from September 2015 (for students starting awards from September 2016),What are the degree classifications for postgraduate taught students at The University of Nottingham starting from September 2016?,"For postgraduate taught students beginning their awards from September 2016, the classifications are as follows: Distinction for marks of 70% and above, Merit for marks between 60% to 69%, and Pass for marks between 50% to 59%. Borderlines for these qualifications are set at 68/69 for Distinction and 58/59 for Merit, with no borderline at the Pass/Fail threshold."
Postgraduate taught degree classification from September 2015 (for students starting awards from September 2016),How are module marks calculated and weighted at The University of Nottingham?,"Module marks are calculated from unit marks and rounded to a numeric integer. They are weighted according to the number of credits attached to each module. For instance, a 20-credit module is weighted double compared to a 10-credit module. The relative weightings for different parts of the program are specified in the program specifications, and a weighted numerical average is used to determine the degree classification."
Postgraduate taught degree classification from September 2015 (for students starting awards from September 2016),What should a student do if they believe extenuating circumstances have affected their academic performance?,"If a student believes that extenuating circumstances have impacted their performance, they should refer to the Extenuating Circumstances Procedure. This policy outlines how students should be considered in light of such circumstances. Students can seek further assistance by contacting their respective student services or academic services offices, depending on their campus."
Degree classification before September 2015,What methods were used for classifying undergraduate degrees at the University of Nottingham before September 2015?,"Before September 2015, the University of Nottingham used three methods for classifying undergraduate degrees: Model 1 (""arithmetic mean""), Model 2 (""ordinal scale""), and Model 3 (""thresholds""). Model 1 involved calculating a weighted numerical average from module marks. Model 2 applied only to students who entered before September 2004 and used an ordinal scale with letter grades. Model 3 translated module marks into point scores, which were then summed for classification."
Degree classification before September 2015,How were borderline cases handled in the degree classification system prior to 2015?,"In the degree classification system prior to 2015, if a student's final composite mark fell within a defined borderline, a weighted profiling system was applied to determine the final classification. This borderline system required clear and explicit communication to students from the start of their studies through School Handbooks. Additionally, extenuating circumstances could be considered according to the Extenuating Circumstances Policy and Procedures."
Degree classification before September 2015,Were there any changes to degree classifications during the Covid-19 pandemic at the University of Nottingham?,"Yes, during the academic year 2019/20, the University of Nottingham introduced exceptional regulations in response to the Covid-19 pandemic. These regulations were specific to each campus (UK, China, and Malaysia) and were applied only during that academic year. Although the active application of these regulations ceased at the start of the 2020/21 academic year, any outcomes from their use in 2019/20 continue to be honored."
Regulations from September 2017 to September 2019,Who do the study regulations outlined on this page apply to?,"These regulations apply to all undergraduate students at the University of Nottingham who entered their qualifying year or Part I between September 2017 and before September 2019. This includes students from the UK, China, and Malaysia campuses."
Regulations from September 2017 to September 2019,"If a student fails a module, what are the conditions under which they might still be awarded credit for it?","A student who fails a module might still be awarded credit if they pass modules worth at least 80 credits with a weighted average of at least 40% and no module marks below 30%, or if they meet other criteria outlined in the regulations. However, this does not apply to final-stage modules or non-compensatable modules."
Regulations from September 2017 to September 2019,What should a student do if they have questions about the study regulations?,"Students should contact their respective School or Department for advice on these regulations. Additionally, schools can obtain guidance by emailing ug-regulations@nottingham.ac.uk."
Regulations from September 2015 to September 2017,What should a student do if they have a query or need advice about the study regulations mentioned in this document?,"Students seeking advice on these regulations should contact their School or Department. Additionally, they can email ug-regulations@nottingham.ac.uk for guidance."
Regulations from September 2015 to September 2017,How does the University of Nottingham handle module failures for students who fail to meet the progression requirements?,"Students who fail one or more modules but meet certain criteria (e.g., passing modules worth at least 80 credits with a weighted average of at least 40%) may still complete their stage and be awarded credit. If they don't meet these criteria, they may have opportunities for reassessment or to enroll in different modules as outlined in the regulations."
Regulations from September 2015 to September 2017,Are the marks obtained in reassessments considered when calculating the final mark for an Honours or Integrated Masters degree?,"No, marks awarded on reassessment do not contribute to the final mark calculation for Honours and Integrated Masters degrees. The final mark is determined by the initial assessments unless there are personal extenuating circumstances that warrant consideration by the Board of Examiners."
Regulations from September 2005 to September 2015,What are the criteria for a student at the University of Nottingham to qualify for an award between 2005 and 2015?,"To qualify for an award during that period, a student must pursue an approved course of study as prescribed by a programme specification, pass the assessments specified in the regulations and programme specification, and successfully complete any additional required components."
Regulations from September 2005 to September 2015,How does the University of Nottingham handle failed modules for students who started their courses between 2005 and 2015?,"If a student fails a module, they may still be awarded credit under specific circumstances outlined in the regulations. For instance, a student can complete a stage if they meet certain credit and average mark requirements even if some modules are failed. There are also provisions for reassessment, allowing one re-assessment per failed module, with additional conditions for progression."
Regulations from September 2005 to September 2015,Can students at the University of Nottingham who fall within the 2005-2015 regulations receive a degree classification lower than their final mark indicates?,"No, the regulations do not allow for a degree classification to be lowered below what the final mark indicates. Discretion is only applied for raising a classification in cases of borderline marks or personal extenuating circumstances, but not for lowering it."
Regulations for students admitted from September 2017 and before September 2019,"Who are the study regulations applicable to, and what timeframe do they cover?","The study regulations detailed on the page apply to postgraduate taught students who were admitted between September 2017 and before September 2019. These regulations cover students across all University of Nottingham campuses in the UK, China, and Malaysia."
Regulations for students admitted from September 2017 and before September 2019,"What is the minimum pass mark required for a module in a taught postgraduate program, and are there any circumstances where credit might still be awarded if this mark is not achieved?","The minimum pass mark required for a module in a Master's, Postgraduate Diploma, or Postgraduate Certificate program is 50%. However, credit may still be awarded if a student fails to pass a module under certain conditions, such as having passed modules worth at least two-thirds of credits and maintaining a weighted average of at least 50%, with no module marks less than 40%."
Regulations for students admitted from September 2017 and before September 2019,How does the University handle re-assessment opportunities for students who have not passed their assessments?,"Students who have not satisfactorily completed the taught stage or dissertation/project stage at the first attempt have the right to one reassessment in each failed module that could enable them to meet program requirements. This reassessment typically takes place in August/September following the first assessment, unless alternative arrangements are made, such as for distance learning or part-time students. Re-assessment marks do not contribute to the final mark for awarding Merits and Distinctions but will count towards passing the course."
Regulations for students admitted from September 2016 and before September 2017,What are the pass mark requirements for a taught postgraduate module at the University of Nottingham for students admitted between September 2016 and before September 2017?,"The pass mark for a module in a Masters, Postgraduate Diploma, or Postgraduate Certificate program is 50%. Students must achieve this mark to be awarded credit for the module."
Regulations for students admitted from September 2016 and before September 2017,Can a student request to defer the dissertation/project stage if they have assessments in August/September?,"Yes, students can request a deferral for the dissertation/project stage to the next academic year if they are undertaking assessments in August/September. This deferral must be explicitly stated in the relevant programme specification or approved by their School."
Regulations for students admitted from September 2016 and before September 2017,"How are distinctions and merits awarded for postgraduate degrees, and do re-assessment marks affect this classification?","Distinctions are awarded to students with a final credit-weighted mark of at least 70%, and merits are awarded for marks of at least 60%. Marks from re-assessments do not contribute to the classification for merits and distinctions; only the marks from the first attempt are considered for classification purposes."
Regulations for students admitted from September 2012 and before September 2016,What are the pass mark requirements for a module in a taught postgraduate program at the University of Nottingham for students admitted between 2012 and 2016?,"The pass mark for a module in a taught postgraduate program, such as a Masters, Postgraduate Diploma, or Postgraduate Certificate, is 50%. This means students must achieve at least 50% to pass a module for these programs."
Regulations for students admitted from September 2012 and before September 2016,How can a student at the University of Nottingham be eligible for a Masters award if they struggle with the dissertation stage?,"To receive a Masters award, a student must successfully complete both the taught and dissertation/project stages of their course. If a student cannot successfully complete the dissertation/project stage but has passed taught modules worth 120 credits with a pass mark of at least 50%, they may be awarded a Postgraduate Diploma or Certificate instead, adhering to the regulations on stage completion."
Regulations for students admitted from September 2012 and before September 2016,Are students at the University of Nottingham allowed to re-assess modules they have already passed?,"No, students are not permitted to be re-assessed in modules they have already passed. Re-assessment opportunities are only available for modules that have been failed initially, and certain conditions apply for further re-assessment attempts."
Regulations for students admitted from September 2006 and before September 2012,Who do I contact if I have questions about the study regulations for my master's program at the University of Nottingham's UK campus?,"If you have questions about the study regulations for your master's program at the University of Nottingham's UK campus, you should contact Student Services. Additionally, if you're seeking advice specific to your course, it's best to contact your School or Department directly."
Regulations for students admitted from September 2006 and before September 2012,What are the criteria for receiving a Distinction in a postgraduate Master's course at the University of Nottingham?,"To receive a Distinction in a postgraduate Master's course at the University of Nottingham, you need to achieve a final credit-weighted mark of at least 70%. Additionally, some program specifications may require you to achieve at least 70% in the dissertation/project stage or the taught stage. It's important to check the specific requirements stated in your program's supplementary regulations."
Regulations for students admitted from September 2006 and before September 2012,Can I be re-assessed in a module I have already passed in my postgraduate course at the University of Nottingham?,"No, you cannot be re-assessed in modules that you have already passed in your postgraduate course at the University of Nottingham. Re-assessment is only available for failed modules, and you have one re-assessment opportunity as specified by your School."
Supplementary regulations for the degree of Master of Research (MRes) in Medicine,What are the requirements for someone to be admitted to the Master of Research (MRes) program in Medicine at the University of Nottingham?,The admissions requirements for the MRes program in Medicine are outlined in the University of Nottingham’s Quality Manual under the section entitled Admissions. Prospective students should refer to this document for detailed information on what is required to gain entry into the program.
Supplementary regulations for the degree of Master of Research (MRes) in Medicine,"Can a student who starts the MRes program decide to switch to a PhD program, and if so, what is the process?","Yes, a student can transfer from the MRes program to a PhD program. This can be done after at least nine months of study in the MRes program and before submitting the thesis. The student must obtain approval from their supervisor and the Head of School, and then submit an application to the University for permission to register for the PhD program. The PhD registration period should typically be three years full-time from the initial MRes registration date."
Supplementary regulations for the degree of Master of Research (MRes) in Medicine,"How is the thesis component of the MRes program in Medicine assessed, and what are the requirements for its submission?","The thesis for the MRes program is assessed by both an External Examiner and an Internal Examiner, who provide independent reports and determine whether a viva voce examination is necessary. The thesis must not exceed 35,000 words, inclusive of appendices, footnotes, and tables, but excluding the bibliography. Students must submit two copies of their thesis to Student Services before the end of their registered study period. The thesis should not have been submitted to any other university for a degree award."
Regulations for the Degree of Master of Research (MRes) before September 2019,I'm considering pursuing a Master of Research at the University of Nottingham and started my studies before September 2019. What are the course duration options available to me?,"If you commenced your studies before September 2019, the Master of Research program must be completed within one year's full-time supervised study or a maximum of four years' part-time supervised study."
Regulations for the Degree of Master of Research (MRes) before September 2019,What are the requirements for the dissertation in the Master of Research program for students who began their studies before September 2019?,"As a candidate, you need to present a dissertation with a maximum length of 35,000 words, which includes appendices, footnotes, tables, and bibliography. The dissertation should reflect the results of your advanced study and research and must be submitted within one year for full-time study or up to four years for part-time study."
Regulations for the Degree of Master of Research (MRes) before September 2019,"Can I transfer from the Master of Research to a PhD program at the University of Nottingham, and if so, what are the conditions?","Yes, you can apply to transfer to a PhD program after at least nine months of study for the MRes and before submitting your dissertation. You will need approval from your supervisor and the Head of School. The period of registration for the PhD is normally three years full-time from the initial registration date for the MRes."
Regulations for the Degree of Master of Research (MRes) before September 2018,"I'm considering pursuing a Master of Research. How long do I have to complete the program, and is there a part-time option available?","The Master of Research (MRes) program must be completed within one year for full-time study or a maximum of four years for part-time study. This includes completing a program of generic training, a research project, and any assessed taught modules."
Regulations for the Degree of Master of Research (MRes) before September 2018,"Can I transfer from the MRes program to a PhD, and if so, what are the requirements?","Yes, you can transfer from the MRes program to a PhD. You must have completed at least nine months of study for the MRes and not yet submitted your dissertation. Approval from your supervisor and the Head of School is necessary. The PhD registration period will typically last three years, starting from your initial MRes registration date."
Regulations for the Degree of Master of Research (MRes) before September 2018,What are the requirements for successfully obtaining the Master of Research degree?,"To be awarded the Master of Research degree, you must complete an adequate generic training program, pass all taught modules (with some compensation allowed at examiner discretion), and produce a satisfactory dissertation. Additionally, if required, you must attend and pass a viva voce examination. Successful candidates can graduate once their thesis is uploaded and approved on the University's eTheses service."
Regulations for the Degree of Master of Arts by Research (MA by Research) and Master of Science by Research (MSc by Research) from September 2018,What are the admission requirements for the MA or MSc by Research at the University of Nottingham?,"The specific requirements for admission to a research degree like the MA or MSc by Research are outlined in the Entry requirements section, which can be accessed through the university's website."
Regulations for the Degree of Master of Arts by Research (MA by Research) and Master of Science by Research (MSc by Research) from September 2018,"If a student starts their MA or MSc by Research program before September 2018, which regulations apply to them?","For students who began their MA or MSc by Research programs before September 2018, the pre-September 2018 regulations will apply. They should refer to the university's documentation for those specific requirements."
Regulations for the Degree of Master of Arts by Research (MA by Research) and Master of Science by Research (MSc by Research) from September 2018,"How does the thesis assessment process work for the MA or MSc by Research, and what are the word limits for the thesis?","The thesis is assessed by both an External Examiner and an Internal Examiner who provide independent reports. The word limits for the thesis vary based on the credit value: a 120-credit thesis has a maximum of 25,000 words, a thesis between 120 and 180 credits has a maximum of 30,000 words, and a 180-credit thesis has a maximum of 40,000 words. These limits include appendices, footnotes, tables, and bibliography."
Regulations for the Degree of Master of Arts by Research (MA by Research) and Master of Science by Research (MSc by Research) before September 2018,I'm a student who began my MSc by Research degree before September 2018. Can you tell me how many credits I need to complete and how they are distributed between taught modules and thesis work?,"Certainly! You need to complete a total of 180 credits. A maximum of 60 credits can come from taught modules at Level 4, while the remaining credits, between 120 and 180, must be obtained from a thesis module at Level 4."
Regulations for the Degree of Master of Arts by Research (MA by Research) and Master of Science by Research (MSc by Research) before September 2018,What happens if I fail a taught module or my thesis module during my MA by Research program?,"If you fail a taught module and it is not compensated, or if you fail the thesis module, you have one additional opportunity to pass those modules. However, if you undertake reassessment, you cannot be awarded the degree with distinction. All reassessments must be completed within one year of the end of your registered study period."
Regulations for the Degree of Master of Arts by Research (MA by Research) and Master of Science by Research (MSc by Research) before September 2018,"How is the thesis for the MA by Research evaluated, and what's the process if a viva voce examination is needed?","Your thesis is evaluated by both an External Examiner and an Internal Examiner, who provide independent reports. They determine if the thesis module is passed and if the thesis demonstrates exceptional performance. If a viva voce examination is necessary, it will be conducted according to the relevant regulations for MPhil degrees."
"Regulations for the Degree of Master of Arts by Research (MA by Research) and Master of Science by Research (MSc by Research), two years full-time / four years part-time","What are the time commitments for pursuing a Master's by Research at the University of Nottingham, and can I study part-time?",The Degree of Master of Arts by Research (MA by Research) and the Master of Science by Research (MSc by Research) at the University of Nottingham can be completed in 2 years if you study full-time or 4 years if you opt for part-time study. This flexibility allows students to choose a schedule that best fits their personal and professional commitments.
"Regulations for the Degree of Master of Arts by Research (MA by Research) and Master of Science by Research (MSc by Research), two years full-time / four years part-time","How is the thesis component structured for a Master's by Research, and what are the word limits?","For the Master's by Research, students must complete a thesis module worth between 180 and 240 credits. The maximum word length for a thesis worth 180 credits is 40,000 words, while a thesis worth 240 credits can be up to 50,000 words. These word limits include all appendices, footnotes, tables, and bibliography. The thesis must reflect the candidate's advanced study and research."
"Regulations for the Degree of Master of Arts by Research (MA by Research) and Master of Science by Research (MSc by Research), two years full-time / four years part-time","If I start my Master's by Research, can I later switch to a PhD program at the University of Nottingham?","Yes, you can apply to transfer to a PhD program after at least 9 months of study in the Master's by Research program, but before submitting your thesis. This requires the approval of your supervisor and the Head of School. If approved, the PhD registration period would typically be 3 years full-time from your initial Master's registration date."
Regulations for Subject Specific Masters by Research Degrees,What are the entry requirements for the Master of Arts in Modern Languages (by research) at the University of Nottingham?,"To be eligible for the Master of Arts in Modern Languages (by research), candidates should have a 2:1 (or international equivalent) in an arts, humanities, or social science subject. Additionally, non-native English speakers need to have an IELTS score of 7.0, with no less than 6.5 in any element."
Regulations for Subject Specific Masters by Research Degrees,How is the assessment structured for the MA in Music (by research) at the University of Nottingham?,"The MA in Music (by research) involves several components. Students must pass all taught elements, which include compulsory courses and the research project. The research project varies based on specialization: Musicology involves a dissertation, Performance includes a recital and lecture-recital, Music Technology requires a recorded project and written document, and Composition entails a portfolio and commentary. Each has specific weighting criteria for assessment."
Regulations for Subject Specific Masters by Research Degrees,Can students pursuing an MA in Science in Society (by research and thesis) at the University of Nottingham transfer to a PhD program?,"Yes, students can transfer to a PhD program after their MA year. They must successfully pass an upgrading review, which involves submitting a portfolio of work, including a 15,000-word extract from their MA dissertation and a research plan. If successful, they transfer to the PhD program without being formally examined on the MA dissertation. If the application is rejected, they can submit a completed MA dissertation for assessment."
School Examination Board,"What is the role of the external examiner in the School Examination Board meetings, and what happens if they can't attend?","The external examiner is typically present at any School Examination Board meetings where decisions are made about awarding degrees, diplomas, or certificates. If the examiner cannot attend for a valid reason, their absence must be approved by the Chair. In such cases, the Chair must ensure that the external examiner has been fully involved in agreeing on marks and that there is a written record of their remarks and recommendations. If absent, the external examiner should be consulted by phone or other means about critical decisions before the pass list is signed."
School Examination Board,How does the School Examination Board handle extenuating circumstances for students?,"Extenuating circumstances are generally considered by a sub-committee or meeting that makes recommendations to the School Examination Board. They assess the validity of each claim and propose outcomes in line with the Extenuating Circumstances Policy. The full details of a student's circumstances remain confidential to the sub-committee, and only a brief summary is presented to the Examination Board unless discussing full details is strictly necessary. This ensures decisions are made fairly while maintaining student confidentiality."
School Examination Board,What happens if someone on the Board has a conflict of interest with a student being discussed?,"The Board of Examiners is required to recognize any potential conflicts of interest, such as past dealings with a student that might lead to a perception of bias. In such situations, it's important to document that the member with the conflict did not have a decisive role in determining the outcome for that student. This practice helps maintain the integrity and fairness of the Board's decisions."
Entry requirements,What types of programmes does the University of Nottingham's entry policy apply to?,The entry policy applies to all taught and research-based programmes at the University of Nottingham.
Entry requirements,Who might find the University of Nottingham's entry requirements information useful?,"The entry requirements information is primarily directed at prospective students, but it may also be of interest to current students and staff across the University's campuses in the UK, China, and Malaysia."
Entry requirements,"If I have questions about admission requirements at the University of Nottingham, whom should I contact?","You should contact the admissions team specific to the campus you are interested in: UNUK for the UK campus, UNNC for the China campus, and UNM for the Malaysia campus. For staff inquiries, you can reach out to Quality-Manual-Enquiries@nottingham.ac.uk."
Policy on student complaints (UNM and UNNC),"I'm a student currently on an exchange program at the University of Nottingham's UK campus, but my home campus is in Malaysia. Which complaints procedure should I follow if I encounter issues during my exchange?","Since you are studying away from your home campus and issues have occurred at the UK campus, you should follow the complaints policy and procedure applicable to the UK campus. Each campus has its own procedures, and it's important to address complaints according to the location where the issues arise."
Policy on student complaints (UNM and UNNC),"Can a group of students file a collective complaint, and if so, what is required for this process?","Yes, a group of students can file a collective complaint. However, one student must be identified as the main contact for communication purposes and must have written consent from other students who wish to be named in the complaint. This ensures that the process is organized and that there is a clear point of contact for the University."
Policy on student complaints (UNM and UNNC),"If a complaint involves allegations of bullying by a staff member, which policy should be referred to, and what happens if it's combined with a complaint about a student matter?","Complaints involving allegations of bullying, harassment, or victimization by a staff member should be addressed under the Policy of Dignity within the University. If the complaint also involves a student matter that falls under the student complaints policy, the University may appoint one investigating officer to handle both issues according to the relevant procedures. This ensures a comprehensive and coordinated approach to resolving the complaint."
Policy on Joint Honours programmes,Who is responsible for managing the various aspects of a Joint Honours course at The University of Nottingham?,"The Lead School is responsible for managing all aspects of a Joint Honours course. However, certain responsibilities may be delegated to a partner School, provided all parties approve. The Lead School must also ensure clear procedures for working with partner Schools on course structure and assessment matters."
Policy on Joint Honours programmes,How is the degree class determined for borderline Joint Honours students who entered the program from September 2015 onwards?,"For students entering from September 2015 onwards, a standardized weighted profiling system is used to determine the degree class of borderline students. A student is awarded the higher class if either half or more of the final stage credits or half or more of the final and penultimate stage credits are in the higher class. Extenuating circumstances can also be considered."
Policy on Joint Honours programmes,What should be done if there are logistical difficulties preventing External Examiners from partner Schools from attending the Lead School's Exam Board for Joint Honours courses?,"If logistical difficulties prevent External Examiners from partner Schools from attending the Lead School's Exam Board, it's not necessary for them to attend. The Lead School ensures that the Exam Board is held at a time when all necessary information and marks from the partner School are available, and recommendations for Joint Honours students are reported to partner Schools for information."
Undergraduate degree classification from September 2020,What changes were implemented in degree classifications for undergraduate students entering from September 2020 at the University of Nottingham?,"Starting from September 2020, undergraduate students entering their Qualifying year or Part I are subject to new degree classification regulations. These include a standardized arithmetic mean model for calculating module marks, which are weighted according to credits, and a defined system for classifying degrees based on weighted numerical averages. The classifications are First Class (70%+), Upper Second Class (60%-69%), Lower Second Class (50%-59%), and Third Class (40%-49%). The changes also introduced specific criteria for borderline cases."
Undergraduate degree classification from September 2020,How are borderline cases handled under the new undergraduate degree classification system at the University of Nottingham?,"For students entering from September 2020, borderline cases are determined using a weighted profiling system. If a student's final composite mark falls within a borderline (such as 69 for a First Class or 59 for an Upper Second), the final classification is determined by whether two-thirds or more of the final stage credits or the final and penultimate stage credits are in the higher class. This system is designed to ensure fair consideration of a student's performance across their studies."
Undergraduate degree classification from September 2020,What should a student do if they have extenuating circumstances affecting their degree classification at the University of Nottingham?,"Students with extenuating circumstances should follow the university's Extenuating Circumstances Policy and Procedures. This involves notifying the university of their situation so that it can be considered when determining their degree classification. The policy ensures that students are given the necessary support and that their circumstances are taken into account, potentially affecting their classification outcome."
Postgraduate taught degree classification from September 2021,What degree classifications are available for postgraduate taught students at the University of Nottingham starting from September 2021?,"For students who started their postgraduate taught programs from September 2021, the degree classifications are Distinction for marks 70% and above, Merit for marks between 60% - 69%, and Pass for marks between 50% - 59%. There are specific borderlines at 69 for Distinction and 59 for Merit, with no borderline at the Pass/Fail level."
Postgraduate taught degree classification from September 2021,How does the University of Nottingham handle borderline cases for degree classifications in postgraduate taught programs?,"When a student's final composite mark falls within a borderline, the University uses a weighted profiling system to determine the final classification. If two-thirds or more of the final credits are in the higher classification, the student is awarded the higher class. Extenuating circumstances are also considered in these cases."
Postgraduate taught degree classification from September 2021,"If a postgraduate taught student has extenuating circumstances, how does the University of Nottingham address this in the degree classification process?",Students with extenuating circumstances are considered according to the University's extenuating circumstances policy and procedures. This ensures that any valid issues affecting a student's ability to study and complete assessments are taken into account when determining their degree classification.
Monitoring,What is the main purpose of course monitoring at the University of Nottingham?,"The primary purpose of course monitoring at the University of Nottingham is to ensure that no major difficulties have arisen in courses and to identify opportunities for improvement. This process feeds into a broader cycle of quality assurance, which ultimately enhances the student experience across programs."
Monitoring,How does the Education Excellence team support the monitoring process?,"The Education Excellence team supports the monitoring process by providing Schools with lists of programs for which reports are expected, making previous reports and External Examiner reports available on the Monitoring Workspace, running annual training sessions, and offering advice and guidance. They also complete relevant sections of the forms after the Schools have submitted their returns and provide comments on the External Examiners’ reports."
Monitoring,Who is responsible for ensuring that the monitoring processes include programs run at international campuses?,"The School at the UK campus (UNUK) is responsible for ensuring that programs run at the international campuses, either separately or jointly, are included in the monitoring deliberations at the School level. Additionally, the UK head of School has the responsibility for Quality Assurance activities, which may be delegated, to ensure comprehensive coverage of all programs across campuses."
External assessors role,What are the criteria for appointing an External Assessor for Apprenticeship Integrated End-Point Assessments at the University of Nottingham?,"The criteria for appointing an External Assessor include having experience and expertise in practice-based or vocational settings related to apprenticeship programs, understanding apprenticeship standards and assessment plans, and being both occupationally and academically competent in degree-level assessment. Additionally, the assessor must be independent of the apprentice, the End-Point Assessment Organisation (EPAO), and the employing organization involved in delivering the apprenticeship."
External assessors role,How does the University of Nottingham ensure that External Assessors are prepared for their role in End-Point Assessments?,"The University ensures that External Assessors are prepared by providing them with guidance, induction, and relevant training for the EPA delivery through the School. They are also expected to engage in regular Continual Professional Development (CPD) activities. If an assessor has no previous experience, the School may appoint them to a team or assign a mentor. Additionally, Heads of School must ensure assessors receive information on marking policies, moderation practices, and any specific requirements from the Apprentice standard or EPA plan."
External assessors role,What happens if an External Assessor fails to submit their annual summary report on time at the University of Nottingham?,"If an External Assessor fails to submit their annual summary report within the stipulated time, it may constitute grounds for not re-appointing them in a subsequent year. The School is responsible for ensuring that reports comply with standard requirements and are available to relevant committees and bodies. Registry and Academic Affairs will notify schools annually of any outstanding reports to assist them in managing this responsibility."
Policy on applicant complaints,What is the University of Nottingham's policy if I want to file an anonymous complaint about the application process?,The University of Nottingham generally does not consider anonymous complaints unless there are exceptional and evidence-based reasons to do so. This is because anonymity might hinder the investigation and communication of the outcome.
Policy on applicant complaints,"Can I have my parent file a complaint on my behalf, and what do I need to do?","Yes, your parent can file a complaint on your behalf, but you must provide express written consent allowing them to act for you. All correspondence regarding the complaint will also be sent to you unless otherwise agreed."
Policy on applicant complaints,What types of issues are not considered valid grounds for a complaint under the University's policy?,"The policy does not consider challenges to the academic judgment of staff or disagreements with University policies/regulations as valid grounds for a complaint. Additionally, matters of public interest might be better suited for the Whistleblowing (Public Interest Disclosure) Code."
Applicant complaints procedure,What steps should I take if I want to file a complaint about my application process at the University of Nottingham?,"To file a complaint, you should start at Level 1 by trying to resolve the issue informally with the person or department involved. If you're not satisfied with the outcome, you can proceed to Level 2 by completing the Level 2 Complaint Form and submitting it to the Admissions Team within 1 month of the Level 1 outcome. If the issue remains unresolved, you can escalate to Level 3 by submitting the Level 3 Complaint Form within 10 working days of the Level 2 outcome."
Applicant complaints procedure,What should I do if I have supporting evidence for my Level 2 complaint that is not in English?,It is your responsibility to ensure that any evidence not written in English is translated and submitted at the same time as your Level 2 complaint form. This will help ensure that your complaint is considered properly and without unnecessary delays.
Applicant complaints procedure,Can I bring someone to meetings if my complaint reaches the formal review stages at the University of Nottingham?,"Yes, you have the right to bring a friend to any meetings during the formal stages of the complaint procedure. However, solicitors or other legal representatives are not permitted to attend these meetings."
Policy to instigate an investigation by an independent person following a complaint to the Students' Union,What should a student do if they are unhappy with a decision made by the Students' Union at the University of Nottingham?,"If a student is dissatisfied with a decision from the Students' Union, they should first ensure they have completed all stages of the Students' Union Complaints Procedure. Once this is done, they can appeal to the Registrar, providing a concise statement and key evidence. The Registrar will then assess the appeal's eligibility and, if eligible, appoint an Independent Person to review the case."
Policy to instigate an investigation by an independent person following a complaint to the Students' Union,What happens if a student disagrees with the outcome of their appeal regarding a complaint against the Students' Union?,"If a student remains dissatisfied after the University's appeal procedure, they have no further right to appeal within the University. However, they can choose to take their complaint to the Office of the Independent Adjudicator (OIA) for further review."
